Porter,Original,Lancaster,Snowball
aa,['aa'],['aa'],['aa']
aaa,['aaa'],['aa'],['aaa']
aaawww,['aaawww'],['aaawww'],['aaawww']
aab,['aab'],['aab'],['aab']
aah,['aah'],['aah'],['aah']
aaron,['aaron'],['aaron'],['aaron']
aau,"['aaus', 'aau']","['aa', 'aau']","['aaus', 'aau']"
ab,['ab'],['ab'],['ab']
aback,['aback'],['aback'],['aback']
abandon,"['abandoned', 'abandoning', 'abandon', 'abandonment']","['abandon', 'abandon', 'abandon', 'abandon']","['abandon', 'abandon', 'abandon', 'abandon']"
abaring,['abaringe'],['ab'],['abaring']
abas,['abasement'],['abas'],['abas']
abat,['abated'],['ab'],['abat']
abatuno,['abatuno'],['abatuno'],['abatuno']
abb,['abbe'],['ab'],['abb']
abba,['abbas'],['abba'],['abba']
abbass,['abbass'],['abbass'],['abbass']
abber,['abberations'],['ab'],['abber']
abbey,['abbey'],['abbey'],['abbey']
abbot,['abbot'],['abbot'],['abbot']
abbott,['abbott'],['abbot'],['abbott']
abbrevi,"['abbreviated', 'abbreviation', 'abbreviations']","['abbrevy', 'abbrevy', 'abbrevy']","['abbrevi', 'abbrevi', 'abbrevi']"
abc,['abc'],['abc'],['abc']
abdallah,['abdallah'],['abdallah'],['abdallah']
abdomen,['abdomen'],['abdom'],['abdomen']
abdomin,['abdominal'],['abdomin'],['abdomin']
abdomini,['abdominis'],['abdomin'],['abdomini']
abduct,['abduction'],['abduc'],['abduct']
abe,"['abed', 'abe']","['ab', 'ab']","['abe', 'abe']"
abel,"['abel', 'abell', 'abels']","['abel', 'abel', 'abel']","['abel', 'abel', 'abel']"
abelson,['abelson'],['abelson'],['abelson']
aber,['aber'],['ab'],['aber']
abernathi,"['abernathys', 'abernathy']","['abernathy', 'abernathy']","['abernathi', 'abernathi']"
aberr,"['aberration', 'aberrations', 'aberrant']","['aber', 'aber', 'aber']","['aberr', 'aberr', 'aberr']"
abet,['abetted'],['abet'],['abet']
abey,['abeyance'],['abey'],['abey']
abhor,['abhorred'],['abhor'],['abhor']
abhorr,['abhorrent'],['abhor'],['abhorr']
abid,"['abide', 'abiding', 'abides']","['abid', 'abid', 'abid']","['abid', 'abid', 'abid']"
abigail,['abigail'],['abigail'],['abigail']
abil,"['abilities', 'ability']","['abl', 'abl']","['abil', 'abil']"
abilen,['abilene'],['abl'],['abilen']
abject,"['abjection', 'abject']","['abject', 'abject']","['abject', 'abject']"
abjectli,['abjectly'],['abject'],['abject']
abl,['able'],['abl'],['abl']
ablard,['ablard'],['ablard'],['ablard']
ablat,"['ablated', 'ablation']","['abl', 'abl']","['ablat', 'ablat']"
ablaz,['ablaze'],['ablaz'],['ablaz']
abler,['abler'],['abl'],['abler']
abli,['ably'],['abl'],['abli']
abner,['abner'],['abn'],['abner']
abnorm,"['abnormal', 'abnormalities', 'abnormally']","['abnorm', 'abnorm', 'abnorm']","['abnorm', 'abnorm', 'abnorm']"
abo,['abo'],['abo'],['abo']
aboard,['aboard'],['aboard'],['aboard']
abod,['abode'],['abod'],['abod']
abolish,"['abolished', 'abolish']","['abol', 'abol']","['abolish', 'abolish']"
abolit,['abolition'],['abolit'],['abolit']
abolitionist,"['abolitionists', 'abolitionist']","['abolit', 'abolit']","['abolitionist', 'abolitionist']"
aborigin,"['aborigine', 'aboriginal', 'aborigines']","['aborigin', 'aborigin', 'aborigin']","['aborigin', 'aborigin', 'aborigin']"
abort,"['abortive', 'abortion', 'abortions']","['abort', 'abort', 'abort']","['abort', 'abort', 'abort']"
abound,"['abounded', 'abound', 'abounding', 'abounds']","['abound', 'abound', 'abound', 'abound']","['abound', 'abound', 'abound', 'abound']"
about,['aboutiveness'],['about'],['about']
abov,['above'],['abov'],['abov']
aboveground,['aboveground'],['aboveground'],['aboveground']
abra,['abra'],['abr'],['abra']
abraham,['abraham'],['abraham'],['abraham']
abram,['abrams'],['abram'],['abram']
abras,['abrasion'],['abras'],['abras']
abreact,['abreaction'],['abreact'],['abreact']
abreast,['abreast'],['abreast'],['abreast']
