Snowball,Original,Porter,Lancaster
aa,['aa'],['aa'],['aa']
aaawww,['aaawww'],['aaawww'],['aaawww']
aah,['aah'],['aah'],['aah']
abber,['abberations'],['abber'],['ab']
abbot,['abbot'],['abbot'],['abbot']
abc,['abc'],['abc'],['abc']
aberr,['aberrations'],['aberr'],['aber']
abey,['abeyance'],['abey'],['abey']
ablard,['ablard'],['ablard'],['ablard']
abnorm,['abnormally'],['abnorm'],['abnorm']
abolitionist,['abolitionist'],['abolitionist'],['abolit']
absenc,['absences'],['absenc'],['abs']
abstractor,['abstractors'],['abstractor'],['abstract']
acadia,['acadia'],['acadia'],['acad']
acala,['acala'],['acala'],['acal']
accident,"['accidental', 'accidentally']","['accident', 'accident']","['accid', 'accid']"
accolad,['accolades'],['accolad'],['accolad']
accomplish,['accomplishment'],['accomplish'],['accompl']
accord,['accords'],['accord'],['accord']
accredit,['accreditation'],['accredit'],['accredit']
accumul,"['accumulated', 'accumulate']","['accumul', 'accumul']","['accum', 'accum']"
accur,['accurate'],['accur'],['acc']
acet,['acetate'],['acet'],['acet']
achaean,['achaeans'],['achaean'],['acha']
acknowledg,"['acknowledge', 'acknowledging', 'acknowledgement']","['acknowledg', 'acknowledg', 'acknowledg']","['acknowledg', 'acknowledg', 'acknowledg']"
acont,['aconte'],['acont'],['acont']
acours,['acourse'],['acours'],['acours']
acquir,['acquired'],['acquir'],['acquir']
acquisit,"['acquisition', 'acquisitiveness']","['acquisit', 'acquisit']","['acquisit', 'acquisit']"
acr,['acres'],['acr'],['acr']
acrobat,['acrobatics'],['acrobat'],['acrob']
activ,"['activism', 'activity']","['activ', 'activ']","['act', 'act']"
actor,['actors'],['actor'],['act']
ad,['added'],['ad'],['ad']
addabbo,['addabbo'],['addabbo'],['addabbo']
addison,['addison'],['addison'],['addison']
ade,['ade'],['ade'],['ad']
adenoma,['adenomas'],['adenoma'],['adenoma']
adher,['adherent'],['adher'],['adh']
adjoin,['adjoining'],['adjoin'],['adjoin']
adjust,['adjustments'],['adjust'],['adjust']
adlai,['adlai'],['adlai'],['adla']
administ,['administer'],['administ'],['admin']
admir,"['admiration', 'admirers']","['admir', 'admir']","['admir', 'admir']"
admit,"['admit', 'admittedly']","['admit', 'admittedli']","['admit', 'admit']"
admonish,['admonished'],['admonish'],['admon']
adob,['adobe'],['adob'],['adob']
adopt,['adopt'],['adopt'],['adopt']
adulter,['adulterous'],['adulter'],['adult']
advantag,['advantages'],['advantag'],['adv']
adventur,['adventure'],['adventur'],['adv']
advertis,['advertisement'],['advertis'],['advert']
advis,['advisable'],['advis'],['adv']
advoc,['advocating'],['advoc'],['advoc']
aerosol,['aerosolized'],['aerosol'],['aerosol']
affect,"['affectation', 'affects']","['affect', 'affect']","['affect', 'affect']"
affili,['affiliations'],['affili'],['affy']
affix,['affixed'],['affix'],['affix']
afflict,['affliction'],['afflict'],['afflict']
affluenc,['affluence'],['affluenc'],['afflu']
aforesaid,['aforesaid'],['aforesaid'],['aforesaid']
against,['against'],['against'],['against']
agat,['agates'],['agat'],['ag']
aggreg,['aggregations'],['aggreg'],['aggreg']
agon,['agone'],['agon'],['agon']
agre,['agreed'],['agre'],['agree']
